Rvote,Dvote,Pvote,party,Ovote,SNSPA,Republican,Democrat,Rep or Dem,Independent,No Party,Other,male,vote,Cons.com,Share,Discuss,Brag,Fact Check,Campaign info on SNS,Discover who your friends voted for on SNS,Friend of candidate or political group on SNS,Post content related to a candidate or campaign,Join a political group on SNS,Start a political group on SNS,Get campaign info from Twitter,Follow on Twitter,Include politica links on Twitter,Follow election results on Twitter,View Affirming,View Neutral,View Disconfirming,How liberal,Ideological intensity ,age,educ,empl,hisp,black,inc,Use SNS,weight
NA,NA,NA,0,NA,NA,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,3,0,0,0,4,0,1.76
1,0,1,1,0,NA,1,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,2,0,0,0,2,0,8.32
NA,NA,NA,0,NA,0,0,0,0,1,0,0,0,0,NA,0,0,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,4,2,5,6,1,0,0,NA,1,1.72
1,0,1,1,0,0,1,0,1,0,0,0,0,1,NA,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,1,3,6,4,0,0,0,7,1,2.64
1,0,1,1,0,0,1,0,1,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,2,2,5,3,0,0,0,4,1,3.72
1,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,3,1,5,7,1,0,0,8,1,4.24
NA,NA,NA,1,NA,NA,1,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,1,0,1,NA,2,0,2.84
0,1,1,1,0,0,0,1,1,0,0,0,0,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,3,0,0,0,4,0,2.36
0,1,1,1,0,0,0,1,1,0,0,0,0,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,7,3,0,0,0,NA,0,3.8
0,1,0,0,0,0,0,0,0,1,0,0,0,1,NA,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,5,3,4,6,1,0,0,6,1,3.24
0,1,1,1,0,NA,0,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,0,0,0,2,0,2.36
0,1,0,0,0,0,0,0,0,1,0,0,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,4,2,3,7,0,0,0,4,0,7.16
1,0,1,1,0,0,1,0,1,0,0,0,1,1,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2,2,5,7,1,0,0,6,0,2.52
1,0,1,1,0,1,1,0,1,0,0,0,1,1,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,5,1,0,0,8,0,3.72
NA,NA,NA,1,NA,0,0,1,1,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,4,7,1,0,1,4,1,1.16
0,0,0,1,1,0,0,1,1,0,0,0,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,3,1,6,5,1,0,0,5,0,2.28
1,0,1,1,0,0,1,0,1,0,0,0,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,3,3,6,1,0,0,NA,0,3.64
1,0,1,1,0,0,1,0,1,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,1,0,0,2,2,1,3,0,0,0,8,1,5.32
0,1,1,1,0,0,0,1,1,0,0,0,0,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,5,0,0,0,2,0,1.96
NA,NA,NA,0,NA,0,0,0,0,1,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,3,1,4,5,1,0,0,NA,0,5.72
1,0,0,0,0,1,0,0,0,1,0,0,1,1,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,2,3,3,1,0,0,5,0,10.72
0,1,1,1,0,0,0,1,1,0,0,0,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2,2,1,5,0,0,0,4,0,4.76
1,0,1,1,0,0,1,0,1,0,0,0,0,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,6,0,0,0,5,0,1
NA,NA,NA,0,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,8,2,0,0,0,2,0,4.08
1,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,9,5,1,NA,NA,NA,1,2.88
0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,3,1,9,6,0,0,1,1,1,2.44
NA,NA,NA,0,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,1,0,1,0,4,0,3.32
0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,2,3,3,1,0,0,7,0,5.96
NA,NA,NA,0,NA,0,0,0,0,1,0,0,0,1,NA,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,0,1,0,3,1,3,7,1,0,NA,9,1,3.84
0,1,1,1,0,NA,0,1,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,6,0,0,1,2,0,2.2
1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,3,1,7,6,0,0,0,8,0,2.24
1,0,1,1,0,0,1,0,1,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,1,3,3,6,0,0,0,7,1,4.36
1,0,1,1,0,0,1,0,1,0,0,0,0,1,NA,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,0,1,0,2,2,3,4,0,0,0,3,1,9.76
NA,NA,NA,0,NA,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,NA,NA,5,3,1,0,0,NA,1,4.56
NA,NA,NA,1,NA,0,0,1,1,0,0,0,1,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,2,2,2,6,1,0,1,5,1,2.72
1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2,2,5,7,1,0,0,NA,0,3.96
0,1,0,0,0,0,0,0,0,1,0,0,0,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,3,1,5,6,0,1,0,7,0,2.48
NA,NA,NA,1,NA,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,2,2,2,6,1,0,0,3,1,3.56
0,1,1,1,0,0,0,1,1,0,0,0,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,3,0,0,0,NA,0,4.08
0,1,0,1,0,NA,1,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,3,1,1,0,6,0,3.36
1,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,5,1,0,0,9,0,5.8
NA,NA,NA,1,NA,0,0,1,1,0,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,6,0,0,0,6,0,2.08
NA,NA,NA,0,NA,0,0,0,0,1,0,0,1,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,2,3,5,0,0,0,1,1,3.4
0,1,0,0,0,0,0,0,0,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,6,0,0,0,NA,1,3.6
1,0,1,1,0,NA,1,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,5,0,0,0,NA,0,3.72
NA,NA,NA,0,NA,0,0,0,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,2,2,1,2,0,0,0,NA,1,5.96
NA,NA,NA,1,NA,0,0,1,1,0,0,0,1,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,4,2,7,7,0,0,0,NA,0,2.64
1,0,0,1,0,0,0,1,1,0,0,0,0,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,7,4,0,0,0,5,0,1.32
1,0,1,1,0,NA,1,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,6,0,0,0,NA,0,9.84
1,0,1,1,0,0,1,0,1,0,0,0,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2,2,6,5,0,0,0,7,0,2.04
1,0,1,1,0,0,1,0,1,0,0,0,1,1,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,7,3,0,0,0,NA,0,10.72
1,0,0,0,0,0,0,0,0,0,1,0,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,2,5,3,0,0,0,6,0,10.72
1,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,2,2,2,5,1,0,0,3,1,5.6
1,0,1,1,0,0,1,0,1,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,6,3,0,0,0,3,1,3.72
NA,NA,NA,1,NA,NA,0,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,3,1,0,0,8,0,1.72
1,0,1,1,0,0,1,0,1,0,0,0,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,2,6,6,0,0,0,NA,0,3.24
1,0,0,0,0,1,0,0,0,0,0,1,1,1,NA,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,2,6,1,0,0,2,1,4.92
NA,NA,NA,0,NA,NA,0,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,1,1,0,0,NA,0,3.48
NA,NA,NA,1,NA,NA,0,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,8,3,0,0,0,4,0,1.92
NA,NA,NA,0,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,3,1,5,6,1,NA,NA,NA,0,4.68
1,0,0,1,0,0,0,1,1,0,0,0,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,3,1,9,6,1,0,1,NA,0,2.6
1,0,1,1,0,0,1,0,1,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,1,0,0,4,1,5.96
NA,NA,NA,1,NA,0,1,0,1,0,0,0,1,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,4,0,0,0,4,0,4.28
1,0,1,1,0,NA,1,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,7,2,0,0,0,NA,0,3.96
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,9,4,1,0,0,NA,0,2.24
1,0,1,1,0,0,1,0,1,0,0,0,0,1,NA,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,1,0,0,1,3,5,3,0,0,0,7,1,4.04
NA,NA,NA,0,NA,0,0,0,0,0,1,0,1,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2,2,3,5,1,0,0,7,0,5.84
NA,NA,NA,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,1,0,0,2,2,3,6,0,0,0,7,1,7.8
NA,NA,NA,1,NA,0,0,1,1,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,6,6,0,0,0,4,1,1.88
NA,NA,NA,1,NA,0,0,1,1,0,0,0,1,0,0,0,0,NA,1,0,0,1,1,0,0,0,0,0,0,0,1,0,5,3,1,3,0,1,0,3,1,4.4
1,0,0,0,0,NA,0,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,5,0,0,0,4,0,2.04
1,0,1,1,0,0,1,0,1,0,0,0,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,2,9,6,0,0,0,8,0,2
1,0,1,1,0,NA,1,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,7,3,0,0,0,2,0,3
0,1,1,1,0,0,0,1,1,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,6,7,1,0,0,8,1,3.12
0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,5,3,2,3,1,0,0,3,0,5.96
NA,NA,NA,0,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,3,0,0,0,NA,0,2.36
1,0,0,1,0,NA,0,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,2,0,0,1,3,0,4.2
1,0,0,0,0,1,0,0,0,1,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,3,1,4,5,0,0,0,NA,1,4.84
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,6,3,0,0,0,1,0,1.76
1,0,1,1,0,0,1,0,1,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,1,3,3,3,1,0,0,3,1,5.96
NA,NA,NA,1,NA,0,0,1,1,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,7,3,0,0,0,9,1,2.04
1,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,3,1,6,5,0,0,0,2,1,1
NA,NA,NA,1,NA,1,0,1,1,0,0,0,1,0,0,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2,2,9,6,1,0,1,9,0,1.72
NA,NA,NA,0,NA,0,0,0,0,1,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,3,1,4,6,1,0,0,NA,1,2.76
NA,NA,NA,0,NA,0,0,0,0,1,0,0,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,3,1,4,7,1,0,0,9,0,3.48
1,0,1,1,0,NA,1,0,1,0,0,0,0,1,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,2,6,5,1,0,0,7,0,2.52
1,0,1,1,0,0,1,0,1,0,0,0,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2,2,5,6,1,0,0,6,0,2.4
1,0,1,1,0,NA,1,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,9,3,1,0,0,NA,0,1.92
NA,NA,NA,1,NA,0,1,0,1,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,3,1,3,5,1,0,0,7,1,4.8
1,0,1,1,0,NA,1,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,7,1,0,0,9,0,5.24
0,1,1,1,0,NA,0,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,1,0,1,0,NA,0,9.24
NA,NA,NA,1,NA,0,1,0,1,0,0,0,1,0,NA,0,0,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,2,2,4,6,1,0,0,2,1,1.68
0,0,0,0,1,0,0,0,0,1,0,0,0,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,3,1,5,4,1,0,0,6,0,3.8
0,1,1,1,0,0,0,1,1,0,0,0,1,1,NA,0,1,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,2,6,7,0,0,0,9,1,2.08
0,1,1,1,0,0,0,1,1,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,5,6,0,0,1,7,1,3.44
NA,NA,NA,1,NA,0,1,0,1,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,3,1,6,5,0,0,0,5,1,4.84
0,1,1,1,0,0,0,1,1,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,4,5,1,0,0,8,1,4.68
0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,4,2,6,7,1,0,0,7,1,2.72
0,1,1,1,0,0,0,1,1,0,0,0,1,1,NA,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,3,1,2,6,1,0,0,2,1,7.64
NA,NA,NA,0,NA,0,0,0,0,1,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,5,1,0,0,6,0,2.72
NA,NA,NA,1,NA,0,0,1,1,0,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,2,1,1,0,3,0,8.16
NA,NA,NA,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,2,3,3,0,0,0,7,0,6.6
0,1,1,1,0,0,0,1,1,0,0,0,0,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,3,1,0,1,2,0,7.44
1,0,0,0,0,NA,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,5,0,0,0,2,0,1.4
1,0,0,0,0,0,0,0,0,1,0,0,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,7,0,0,0,6,0,2.04
0,1,1,1,0,0,0,1,1,0,0,0,0,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,6,0,0,0,8,0,2.76
NA,NA,NA,0,NA,1,0,0,0,1,0,0,1,0,NA,1,1,NA,1,1,0,0,1,1,0,NA,NA,NA,NA,0,1,0,3,1,1,3,0,0,0,5,1,2.2
1,0,1,1,0,0,1,0,1,0,0,0,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,2,4,6,1,0,0,8,0,2.72
NA,NA,NA,1,NA,NA,0,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,0,0,NA,0,6.36
0,1,1,1,0,0,0,1,1,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,0,0,8,1,5.84
0,1,1,1,0,NA,0,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,5,1,1,0,1,0,3.24
0,1,1,1,0,0,0,1,1,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,3,1,6,2,0,0,0,7,1,3.2
1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,3,1,4,7,1,0,0,7,1,3.64
0,1,1,1,0,0,0,1,1,0,0,0,1,1,NA,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,4,6,1,0,1,8,1,3.28
1,0,1,1,0,0,1,0,1,0,0,0,0,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,2,5,3,1,0,0,6,0,3.96
NA,NA,NA,0,NA,NA,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,5,0,0,0,5,0,1.16
NA,NA,NA,1,NA,0,0,1,1,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,2,2,5,6,0,1,0,6,1,3.24
0,1,0,0,0,NA,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,5,1,0,0,5,0,3.24
0,1,1,1,0,0,0,1,1,0,0,0,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,7,7,0,0,0,7,0,1.52
NA,NA,NA,0,NA,0,0,0,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,0,0,0,3,1,7.32
NA,NA,NA,1,NA,0,0,1,1,0,0,0,0,0,NA,0,1,NA,0,0,1,0,0,1,0,NA,NA,NA,NA,1,0,0,NA,NA,1,5,0,0,0,NA,1,8.36
1,0,0,0,0,0,0,0,0,1,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,3,1,5,4,1,0,0,8,1,5
NA,NA,NA,1,NA,0,0,1,1,0,0,0,1,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,3,5,1,0,1,6,1,5
NA,NA,NA,0,NA,0,0,0,0,1,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,1,0,0,NA,1,4.68
1,0,1,1,0,NA,1,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,3,1,0,0,4,0,3.36
NA,NA,NA,0,NA,0,0,0,0,0,1,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,4,2,4,6,0,0,0,NA,1,3.24
NA,NA,NA,1,NA,0,0,1,1,0,0,0,0,1,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,1,0,0,4,2,6,3,0,0,0,NA,1,3
0,1,1,1,0,0,0,1,1,0,0,0,0,1,NA,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,5,5,1,0,0,8,1,1.52
NA,NA,NA,0,NA,0,0,0,0,0,1,0,1,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,0,0,4,0,5.52
0,1,1,1,0,NA,0,1,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,5,0,0,0,6,0,3.28
NA,NA,NA,1,NA,0,0,1,1,0,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,3,1,0,1,NA,0,3.64
NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,1,0,0,NA,1,5.2
NA,NA,NA,1,NA,0,1,0,1,0,0,0,0,0,NA,0,0,NA,0,0,1,0,1,0,0,NA,NA,NA,NA,1,0,0,2,2,2,4,1,0,0,7,1,4.6
NA,NA,NA,0,NA,NA,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,0,0,2,0,5.16
NA,NA,NA,0,NA,NA,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,5,1,0,0,NA,0,1.8
NA,NA,NA,0,NA,1,0,0,0,1,0,0,0,0,NA,1,0,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,3,1,2,3,0,0,0,7,1,6.28
NA,NA,NA,1,NA,0,1,0,1,0,0,0,0,0,NA,0,0,NA,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,5,5,1,0,0,9,1,3.24
1,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,0,0,7,1,9.16
